Id,Label,Size,modularity_class
global semiparametric efficiency,global semiparametric efficiency,1,1
uniform separation rates,uniform separation rates,1,7
drosophila,drosophila,1,3
regenerative simulation,regenerative simulation,3,1
level permutation,level permutation,2,8
instantaneous frequency,instantaneous frequency,1,6
deficiency distance,deficiency distance,6,0
gauss-newton method,gauss-newton method,1,1
degenerate fisher information,degenerate fisher information,2,6
constrained likelihood,constrained likelihood,1,8
nonparametric correction,nonparametric correction,2,4
cancer bioassay,cancer bioassay,1,8
aic/bic,aic/bic,1,4
log-likelihood ratio,log-likelihood ratio,2,2
probabilistic causality,probabilistic causality,1,5
sub-gaussian estimators,sub-gaussian estimators,1,2
observation error,observation error,1,6
carlo sampling,carlo sampling,3,3
test of convexity,test of convexity,1,5
accelerometer,accelerometer,1,3
slope heuristic,slope heuristic,1,0
model check,model check,1,6
in out of n bootstrap,in out of n bootstrap,1,4
non-negative garrotte,non-negative garrotte,3,2
midpower analysis,midpower analysis,1,0
robust prediction,robust prediction,2,0
penetrance function,penetrance function,1,6
posterior model probability,posterior model probability,3,5
power decay process,power decay process,1,1
sum-of-powers test,sum-of-powers test,1,2
arc-length measure,arc-length measure,1,1
regression trees,regression trees,2,8
web traffic,web traffic,1,1
edgeworth expansion,edgeworth expansion,19,8
variance estimation in mixed models,variance estimation in mixed models,1,2
average likelihood ratio,average likelihood ratio,2,7
exchangeable correlation structure,exchangeable correlation structure,1,6
response selective,response selective,1,1
sensitivity analyses,sensitivity analyses,1,4
restricted orthonormality,restricted orthonormality,1,4
compound free poisson,compound free poisson,1,2
nonignorable missing data,nonignorable missing data,4,5
rate of convergence,rate of convergence,35,7
m-test,m-test,1,3
regression experiment,regression experiment,1,4
lineal transformation model,lineal transformation model,1,0
spatial linear model,spatial linear model,2,2
prognostic distribution,prognostic distribution,1,0
log-rank test,log-rank test,4,2
group invariance,group invariance,1,4
balanced designs,balanced designs,1,7
simulation-extrapolation,simulation-extrapolation,3,2
binary treatment,binary treatment,1,7
empirical likelihood tests,empirical likelihood tests,1,8
multi-class classification,multi-class classification,1,5
bootstrap iteration,bootstrap iteration,1,3
non-parametric density estimation,non-parametric density estimation,3,0
double block bootstrap,double block bootstrap,1,7
oa-based latin hypercubes,oa-based latin hypercubes,1,5
multivariate imputation,multivariate imputation,1,6
patterned mean vector,patterned mean vector,1,8
structured matrix completion,structured matrix completion,1,3
on tree,on tree,1,4
statistical models,statistical models,1,0
resolution level,resolution level,1,5
mixed d-vine,mixed d-vine,1,5
haemophilia data,haemophilia data,1,5
surveillance,surveillance,3,4
marginal beta model,marginal beta model,1,2
lasso path,lasso path,1,3
buckley-james estimator,buckley-james estimator,3,7
distribution of means of random probability measures,distribution of means of random probability measures,3,1
simulation-based estimator,simulation-based estimator,1,1
deviation bounds,deviation bounds,2,2
hybrid quadratic,hybrid quadratic,1,6
wastewater treatment,wastewater treatment,1,6
ranked probability,ranked probability,1,6
family-based association test,family-based association test,1,4
antiretroviral failure,antiretroviral failure,1,8
ideal estimation,ideal estimation,1,6
mass imputation,mass imputation,1,7
nonparametric statistics,nonparametric statistics,9,4
propensity score,propensity score,30,5
features annealed,features annealed,1,2
finite mixtures,finite mixtures,1,1
complete spatial randomness,complete spatial randomness,1,4
counting and,counting and,1,4
variable selections,variable selections,1,2
power variation,power variation,4,0
methylmercury,methylmercury,2,7
renewal theory,renewal theory,4,2
tyler matrix,tyler matrix,1,2
life history data,life history data,1,2
fractional gaussian noise,fractional gaussian noise,1,2
cumulants,cumulants,4,3
iterated filtering,iterated filtering,1,7
government insurance,government insurance,1,6
choice of,choice of,2,2
ewens-pitman distribution,ewens-pitman distribution,1,8
kaplan-meier,kaplan-meier,4,7
tracy-widom law,tracy-widom law,2,4
cross-validation nonparametric,cross-validation nonparametric,1,8
overidentified estimating equation,overidentified estimating equation,1,8
infectious diseases,infectious diseases,2,7
stick-breaking representation,stick-breaking representation,1,3
propensity score weighting,propensity score weighting,1,6
iterative modelling,iterative modelling,1,8
random geometric graphs,random geometric graphs,1,8
dynamic panel data,dynamic panel data,1,7
hajek process,hajek process,1,5
proportional excess,proportional excess,1,0
error processes,error processes,1,0
block designs,block designs,1,1
posterior asymptotic normality,posterior asymptotic normality,1,2
causal effect,causal effect,13,3
characteristic functions,characteristic functions,1,4
sample quantiles,sample quantiles,1,3
affine subspaces,affine subspaces,1,2
compound matrix,compound matrix,2,5
correlation function,correlation function,3,1
exponential spectral representation,exponential spectral representation,1,6
sphericity tests,sphericity tests,2,8
increasing additive processes,increasing additive processes,1,6
generalized hyperbolic distribution,generalized hyperbolic distribution,1,1
huber loss,huber loss,2,4
tetrad analysis,tetrad analysis,1,2
medical cost,medical cost,3,6
reduced dimension,reduced dimension,1,2
blumenthal-getoor index,blumenthal-getoor index,2,5
nonparametric estimators,nonparametric estimators,1,1
maximum quasi-likelihood,maximum quasi-likelihood,1,7
phi-irreducibility,phi-irreducibility,1,6
prewhitening,prewhitening,1,4
disease progression,disease progression,1,2
space-time data,space-time data,1,3
product principal,product principal,1,1
square-root slope function,square-root slope function,1,8
local linear mle,local linear mle,1,5
parafac,parafac,4,4
auxiliary variable,auxiliary variable,2,7
prior construction,prior construction,1,8
structural equation model,structural equation model,7,4
protein dynamics,protein dynamics,1,7
partially gaussian state space model,partially gaussian state space model,1,7
human patience,human patience,1,2
optimization,optimization,4,3
unequal error rates,unequal error rates,1,1
interval-censoring,interval-censoring,1,8
bridge estimator,bridge estimator,2,6
composite regularizers,composite regularizers,1,1
ratio tests,ratio tests,1,5
grassmann manifold,grassmann manifold,3,7
adaptive weighted l-1,adaptive weighted l-1,1,2
mixing processes,mixing processes,2,8
discrete test statistics,discrete test statistics,1,8
exact constants in nonparametric smoothing,exact constants in nonparametric smoothing,2,3
microarray experiment,microarray experiment,2,6
spatial process,spatial process,1,7
two-sample testing,two-sample testing,4,7
weighted likelihood,weighted likelihood,3,3
unequal variance,unequal variance,1,6
set estimators,set estimators,1,2
single index model,single index model,4,7
multiple spells,multiple spells,1,0
eigenprism,eigenprism,1,3
independent contamination model,independent contamination model,1,4
geometric representation,geometric representation,1,5
concurrent optimal subset,concurrent optimal subset,1,5
one-sided inference,one-sided inference,1,1
regret bounds,regret bounds,2,8
biased sampling problem,biased sampling problem,2,8
sa-em,sa-em,1,8
maximal invariant,maximal invariant,2,8
resolution transform,resolution transform,1,0
instrumental inequality,instrumental inequality,1,5
frequentist coverage probability,frequentist coverage probability,1,7
consonance,consonance,1,3
eigenvector,eigenvector,5,8
roy's test,roy's test,1,3
linear galerkin approach,linear galerkin approach,1,2
local linear estimate,local linear estimate,1,5
sufficient statistic,sufficient statistic,3,4
logit,logit,1,6
deviation estimation,deviation estimation,2,0
network analysis,network analysis,5,7
direct effect,direct effect,5,1
bracketing,bracketing,2,8
missing co-variates,missing co-variates,1,4
multivariate mean deviation,multivariate mean deviation,1,5
auto-regressive conditional,auto-regressive conditional,2,8
planar shape,planar shape,1,7
localization,localization,1,1
weighting estimator,weighting estimator,1,1
signal detection,signal detection,6,5
nonignorable cluster size,nonignorable cluster size,1,1
spatial rank,spatial rank,1,3
frechet differentiation,frechet differentiation,1,0
fractional ornstein-uhlenbeck process,fractional ornstein-uhlenbeck process,1,4
ensemble methods,ensemble methods,1,8
improper prior,improper prior,1,4
large covariance matrix,large covariance matrix,2,5
multivariate process,multivariate process,1,7
curve fitting,curve fitting,4,4
levy basis,levy basis,1,4
strong consistency,strong consistency,11,5
root-n consistency,root-n consistency,3,4
tyler's scatter matrix.,tyler's scatter matrix.,1,2
credit score,credit score,1,4
fredholm integral equation,fredholm integral equation,1,3
penalized bernoulli likelihood,penalized bernoulli likelihood,1,1
simultaneous hypothesis tests,simultaneous hypothesis tests,1,1
off-line average,off-line average,1,5
uniformly most,uniformly most,1,3
prevalent cohort studies,prevalent cohort studies,1,3
evolutionary wavelet spectrum,evolutionary wavelet spectrum,1,4
e(s(2))-optimality,e(s(2))-optimality,2,5
optimization under uncertainty,optimization under uncertainty,1,1
graph,graph,5,6
kruskal's tensor decomposition,kruskal's tensor decomposition,1,8
reference prior,reference prior,3,0
metric scaling,metric scaling,1,0
bijective transformation,bijective transformation,1,8
piecewise linear,piecewise linear,3,2
inverse models,inverse models,1,4
convergence rates,convergence rates,4,3
stochastic dynamics,stochastic dynamics,1,5
event-related potential,event-related potential,1,3
defining contrast subgroup,defining contrast subgroup,1,0
spatial analysis,spatial analysis,1,6
m-dependent approximation,m-dependent approximation,1,0
prevention research,prevention research,1,8
isotonic estimation,isotonic estimation,3,6
sobolev spaces,sobolev spaces,3,3
recovery of,recovery of,1,8
martingale information,martingale information,1,5
local optimal designs,local optimal designs,1,8
adaptive splines,adaptive splines,1,5
orthoscheme probability,orthoscheme probability,1,4
kernel regression,kernel regression,19,8
entanglement,entanglement,1,6
global minimization,global minimization,1,3
stochastic convergence,stochastic convergence,1,8
arms,arms,1,5
predictive approach,predictive approach,1,6
receptor assay,receptor assay,1,2
market crisis,market crisis,1,6
jackknife estimator,jackknife estimator,1,2
mallows criterion,mallows criterion,1,1
generalized approximate cross-validation,generalized approximate cross-validation,2,5
isochores,isochores,1,4
noncommutative bernstein inequality,noncommutative bernstein inequality,2,3
either algorithm,either algorithm,1,6
data set,data set,1,4
square-root function,square-root function,1,8
continuous time,continuous time,5,8
adaptive randomized design,adaptive randomized design,1,1
lars,lars,3,2
unconfoundedness,unconfoundedness,3,7
incidence function,incidence function,2,1
process control,process control,1,3
empirical spectral distribution,empirical spectral distribution,4,0
stein's unbiased risk estimate (sure),stein's unbiased risk estimate (sure),3,0
southern oscillation,southern oscillation,1,2
bootstrap calibration,bootstrap calibration,5,2
mixture models,mixture models,29,3
random sets,random sets,1,5
projective family,projective family,1,4
bivariate circular distribution,bivariate circular distribution,1,2
neyman-rubin model,neyman-rubin model,1,3
thorin class,thorin class,1,1
nonmonotone missingness,nonmonotone missingness,1,2
edp-optimality,edp-optimality,1,1
constrained l(1) penalization,constrained l(1) penalization,1,0
genewise variance estimation,genewise variance estimation,1,0
variance function estimation,variance function estimation,4,0
state domain,state domain,1,8
equi-energy sampler,equi-energy sampler,1,5
d-trace loss,d-trace loss,1,5
exogenous variables,exogenous variables,1,2
shift function,shift function,1,6
nearest neighbour adjustment,nearest neighbour adjustment,1,6
semiparametric discriminant analysis,semiparametric discriminant analysis,1,8
reduced rank regression,reduced rank regression,5,3
epistasis,epistasis,4,0
stochastic penetrances,stochastic penetrances,1,0
background driving,background driving,1,0
isotonic discrimination,isotonic discrimination,1,6
pointwise rate,pointwise rate,1,2
hadamard matrices,hadamard matrices,2,2
projected score,projected score,1,5
computer model,computer model,3,2
functional classification,functional classification,2,2
candidate distribution,candidate distribution,1,0
majorization-minimization principle,majorization-minimization principle,1,7
pair correlation function,pair correlation function,1,2
kernel density estimator,kernel density estimator,3,5
band-limited wavelets,band-limited wavelets,1,1
thresholding estimator,thresholding estimator,1,5
minimum covariance,minimum covariance,3,6
gaussian random fields,gaussian random fields,2,5
conditional properties,conditional properties,1,1
mid-p-value,mid-p-value,1,7
statistical simulation,statistical simulation,1,8
maximum a,maximum a,3,4
davies and,davies and,1,8
gene-environment,gene-environment,1,1
bivariate gaussian,bivariate gaussian,1,5
realized variance,realized variance,1,6
ignorability,ignorability,8,3
unobserved confounder,unobserved confounder,1,3
projective resampling,projective resampling,1,5
alternating direction methods,alternating direction methods,1,5
weighted l measure,weighted l measure,1,8
copy number variation,copy number variation,2,8
secondary attack rate,secondary attack rate,1,8
gateaux derivative,gateaux derivative,1,5
evolutionary hybrid algorithm,evolutionary hybrid algorithm,1,1
averaged biomarker,averaged biomarker,1,1
signal heterogeneity,signal heterogeneity,1,1
simulation of,simulation of,1,7
independent nonidentically,independent nonidentically,1,2
quadratic variation,quadratic variation,4,3
stationary sequence,stationary sequence,1,7
residual variance,residual variance,3,6
single nucleotide polymorphism,single nucleotide polymorphism,3,3
variable dimension,variable dimension,1,4
environmental,environmental,1,3
minimax rule,minimax rule,1,4
optimal block designs,optimal block designs,1,6
accelerated testing,accelerated testing,1,6
extended likelihood,extended likelihood,1,4
dynamic linear model,dynamic linear model,2,3
gamma process,gamma process,5,0
functor,functor,1,7
skewed distributions,skewed distributions,1,4
current status data,current status data,14,5
haar wavelet,haar wavelet,1,7
asymptotic posterior,asymptotic posterior,1,1
global linear convergence,global linear convergence,1,2
rate of contraction,rate of contraction,2,7
mve estimator,mve estimator,1,6
retrospective study,retrospective study,4,7
moderate deviations,moderate deviations,7,5
polynomial splines,polynomial splines,4,5
cell mean model,cell mean model,2,3
bootstrap inconsistency,bootstrap inconsistency,2,1
orthogonal series expansion,orthogonal series expansion,1,1
discrete longitudinal data,discrete longitudinal data,1,4
estimability,estimability,1,3
diffusions with,diffusions with,1,5
ancillary variables,ancillary variables,1,5
discrete cosine transform,discrete cosine transform,2,7
biometrics,biometrics,1,7
orthogonal projection,orthogonal projection,2,6
multivariate generalized auto-regressive conditional heteroscedasticity specification testing,multivariate generalized auto-regressive conditional heteroscedasticity specification testing,1,5
poisson distribution,poisson distribution,2,4
submatrix detection,submatrix detection,2,1
quadratic discriminant analysis,quadratic discriminant analysis,2,0
link residuals,link residuals,1,4
posterior rank,posterior rank,1,1
symmetrization,symmetrization,1,5
lagrange multiplier test,lagrange multiplier test,2,3
volatility matrix estimation,volatility matrix estimation,1,4
misalignment,misalignment,1,5
block-coordinate descent,block-coordinate descent,1,1
functional boxplots,functional boxplots,1,2
segregation analysis,segregation analysis,1,0
assignment probabilities,assignment probabilities,1,0
generalized family-wise,generalized family-wise,1,7
credit spreads,credit spreads,1,4
spice,spice,1,0
structural measurement,structural measurement,1,5
matrix compression,matrix compression,1,0
gaussian random effects,gaussian random effects,1,1
profile weighted,profile weighted,1,3
partial correlation graph,partial correlation graph,1,5
backward selection,backward selection,1,5
torus,torus,2,2
expected utility,expected utility,1,0
differential unobserved bias,differential unobserved bias,1,0
band size,band size,1,6
grouping effect,grouping effect,1,3
time-frequency analysis,time-frequency analysis,4,1
adaptive penalty,adaptive penalty,1,8
benchmark variable,benchmark variable,1,0
chemotaxis,chemotaxis,1,5
copy number,copy number,2,1
equivariance,equivariance,5,4
weighted optimality,weighted optimality,1,2
importance resampling,importance resampling,1,8
studentised statistic,studentised statistic,2,0
kronecker products,kronecker products,1,0
gaussian mixtures,gaussian mixtures,1,0
multimodal distribution,multimodal distribution,1,7
experimentwise error rate,experimentwise error rate,1,5
blocks of,blocks of,1,5
bhattacharya/matusita affinity,bhattacharya/matusita affinity,1,0
double shrinkage estimators,double shrinkage estimators,1,5
ignorable missingness,ignorable missingness,1,8
proportional hazard model,proportional hazard model,5,6
global loss function,global loss function,1,0
logit link,logit link,1,6
time factor model,time factor model,1,6
factorization of,factorization of,1,5
exact asymptotics of minimax risk,exact asymptotics of minimax risk,1,1
quasi-likelihood estimation,quasi-likelihood estimation,1,8
risk-based analysis,risk-based analysis,1,7
iterative method,iterative method,1,3
variable and,variable and,1,7
informative non-response,informative non-response,1,8
le cam's lemma,le cam's lemma,1,2
biased sampling,biased sampling,13,8
focused information criteria,focused information criteria,1,3
tumor data,tumor data,1,3
monod model,monod model,1,2
interdirections,interdirections,2,2
genetic progression,genetic progression,1,8
joint measurement,joint measurement,1,5
spline smoothing,spline smoothing,5,0
vuong test,vuong test,1,6
measurement model,measurement model,1,5
large-scale problem,large-scale problem,1,2
vector autoregression,vector autoregression,5,7
marginal score,marginal score,1,6
two-way dependencies,two-way dependencies,1,1
empirical best predictors,empirical best predictors,1,2
game theoretic probability,game theoretic probability,1,4
chet mean,chet mean,1,4
adaptation,adaptation,20,4
alzheimer,alzheimer,1,3
low sample-size data linear discrimination,low sample-size data linear discrimination,1,4
molecular classification,molecular classification,1,6
regression parameter,regression parameter,1,8
discrete observation,discrete observation,2,3
improved inference,improved inference,1,5
martingale structure,martingale structure,1,7
high quantiles,high quantiles,3,6
differential equations,differential equations,6,0
projection estimates,projection estimates,1,5
sequential probability,sequential probability,1,6
data dimension,data dimension,1,1
interventions,interventions,1,5
network sampling,network sampling,2,5
choice of prior,choice of prior,1,5
co-regionalization,co-regionalization,1,4
tracy-widom distribution,tracy-widom distribution,5,5
additive risk model,additive risk model,2,7
density regression,density regression,1,1
varma models,varma models,1,0
multitiered experiments,multitiered experiments,4,6
bayesian detection,bayesian detection,3,8
bayesian linear models,bayesian linear models,1,8
clustered multinomial data,clustered multinomial data,1,0
mann-whitney,mann-whitney,2,5
public use data,public use data,1,3
influence curve,influence curve,3,1
tail index,tail index,2,4
forecast,forecast,1,1
non-stationary,non-stationary,1,6
vector quantiles,vector quantiles,1,1
polya tree,polya tree,3,4
residual analysis,residual analysis,2,4
irregular models,irregular models,1,3
brain mapping,brain mapping,2,5
time varying effects,time varying effects,1,3
genetic algorithm,genetic algorithm,6,0
local linear embedding,local linear embedding,1,1
overrelaxation,overrelaxation,1,4
uniform in bandwidth,uniform in bandwidth,1,4
conditional estimating equations,conditional estimating equations,1,8
kolmogorov consistency,kolmogorov consistency,1,3
sliced inverse regression,sliced inverse regression,43,3
definite matrix,definite matrix,1,6
pattern mixture model,pattern mixture model,1,1
sufficient contour subspace,sufficient contour subspace,1,5
wasserstein metric,wasserstein metric,5,5
concentrated shape,concentrated shape,1,3
mixing coefficients,mixing coefficients,1,1
high-dimensional covariance matrices,high-dimensional covariance matrices,1,7
within-whole-plot additivity,within-whole-plot additivity,1,1
locally linear regression,locally linear regression,1,5
variance of,variance of,1,1
risk bounds,risk bounds,2,3
bivariate mapping,bivariate mapping,1,5
crs,crs,1,3
scoring rules,scoring rules,2,4
random variables,random variables,2,3
point warping,point warping,1,7
capture-recapture estimator,capture-recapture estimator,1,0
penalized likelihood estimation,penalized likelihood estimation,1,8
optional sampling theorem,optional sampling theorem,1,7
linear group,linear group,1,8
local linear,local linear,8,4
heteroscedastic nonparametric regression,heteroscedastic nonparametric regression,1,3
minimum contrast estimation,minimum contrast estimation,2,1
wilks theorem,wilks theorem,1,3
bingham distribution,bingham distribution,2,3
pickands dependence function,pickands dependence function,2,0
uniform minimum,uniform minimum,1,0
components analysis,components analysis,2,6
under interference,under interference,1,7
joint kinematics,joint kinematics,3,1
conditional distribution function,conditional distribution function,3,3
nonresponse instrument,nonresponse instrument,1,8
aalen's additive model,aalen's additive model,4,5
moore-penrose inverse,moore-penrose inverse,3,1
lln,lln,1,2
step-up procedure,step-up procedure,5,2
local polynomials,local polynomials,2,5
random dot,random dot,2,0
group randomized trial,group randomized trial,1,2
comonotonicity,comonotonicity,1,5
johnson curves,johnson curves,1,1
adaptive design,adaptive design,22,7
semiparametric regression,semiparametric regression,20,0
linear structural,linear structural,2,0
microarray analysis,microarray analysis,3,1
orthogonal series estimator,orthogonal series estimator,1,3
diagnostic measure,diagnostic measure,1,7
fowler transforms,fowler transforms,1,3
finite population inference,finite population inference,1,5
paired comparison design,paired comparison design,1,8
james-stein estimator,james-stein estimator,8,2
canonical moment,canonical moment,1,8
herbal medicine,herbal medicine,1,7
with control,with control,1,4
convergence rate,convergence rate,24,5
resampling method,resampling method,4,1
markov chain isomorphism,markov chain isomorphism,1,6
bi-degree sequence,bi-degree sequence,1,1
conference matrix,conference matrix,1,5
markovian process,markovian process,1,3
skew selection,skew selection,1,0
plmin algorithm,plmin algorithm,1,8
l1-regularization,l1-regularization,1,3
sup-norm,sup-norm,1,7
fisher test,fisher test,1,0
distribution-free method,distribution-free method,1,8
register data,register data,1,7
detection delay,detection delay,1,4
ridge parameter,ridge parameter,2,7
hypoglycemia,hypoglycemia,1,3
empirical transforms,empirical transforms,1,1
strong screening consistency,strong screening consistency,1,2
effective dose level,effective dose level,1,1
dynamic labor demand,dynamic labor demand,1,1
poisson mixed models,poisson mixed models,1,7
local false,local false,5,8
maximum deviation,maximum deviation,1,5
high dimension low sample size,high dimension low sample size,1,7
mean-squared error,mean-squared error,4,3
inhomogeneous markov chains,inhomogeneous markov chains,1,1
gene-expression,gene-expression,1,8
non-polynomial dimensionality,non-polynomial dimensionality,1,4
sequential p-value methods,sequential p-value methods,1,5
post-selection inference,post-selection inference,2,4
hierarchical designs,hierarchical designs,1,4
level set clustering,level set clustering,1,4
markov processes,markov processes,1,4
random-matrix theory,random-matrix theory,1,2
le cam's distance,le cam's distance,1,8
equivariant estimator,equivariant estimator,1,8
numerical weather prediction,numerical weather prediction,4,1
dependent dirichlet process,dependent dirichlet process,10,6
large margin classification,large margin classification,2,2
high dimensionality,high dimensionality,24,8
deficiency,deficiency,2,2
non-convex penalty,non-convex penalty,1,3
square root penalty,square root penalty,1,2
gaussian structural,gaussian structural,1,7
exact balance,exact balance,1,6
model evidence,model evidence,1,2
disability,disability,1,4
uniform design,uniform design,4,8
bayesian nonparametric regression,bayesian nonparametric regression,2,3
discretization effects,discretization effects,1,5
edge,edge,2,4
robust community detection,robust community detection,1,8
hyperplane alignment,hyperplane alignment,1,5
thresholding of,thresholding of,1,2
infection,infection,2,2
unbiased predictor,unbiased predictor,6,1
nonparametric confidence bands,nonparametric confidence bands,1,2
arch,arch,2,2
high-frequency asymptotics,high-frequency asymptotics,1,5
adaptive seamless design,adaptive seamless design,1,5
aggregate covariates,aggregate covariates,1,4
process (dp).,process (dp).,1,4
mean direction,mean direction,1,5
orthogonal latin hypercube,orthogonal latin hypercube,1,5
cointegration,cointegration,4,4
complementary design,complementary design,2,7
penalty,penalty,3,3
lagrangian optimization,lagrangian optimization,1,3
circulant embedding,circulant embedding,1,4
overshoot distribution,overshoot distribution,1,8
poisson processes,poisson processes,1,7
co-kriging,co-kriging,1,8
efficient chains,efficient chains,1,0
model adaptation,model adaptation,1,8
passing (amp),passing (amp),1,5
binary variable,binary variable,1,5
markov chain monte carlo (mcmc),markov chain monte carlo (mcmc),1,1
reduction subspace,reduction subspace,1,8
numerical model,numerical model,1,4
marginal false,marginal false,1,7
health care,health care,1,6
computer model calibration,computer model calibration,1,8
functional magnetic,functional magnetic,5,7
pre-test estimator,pre-test estimator,1,0
working correlation matrices,working correlation matrices,1,7
of uncertainty,of uncertainty,1,5
error,error,2,1
departure measure,departure measure,1,8
nonrandom treatment assignment,nonrandom treatment assignment,1,2
joint distribution of order statistics,joint distribution of order statistics,1,6
hybrid test,hybrid test,1,6
central solution spaces,central solution spaces,1,8
quadratic variance function,quadratic variance function,2,8
wilcoxon inference,wilcoxon inference,1,6
linear discrimination,linear discrimination,1,0
between pathway interactions,between pathway interactions,1,6
cross-correlation function,cross-correlation function,1,5
functional clustering,functional clustering,4,4
independence,independence,4,2
linear integral equation,linear integral equation,1,6
residual likelihood,residual likelihood,1,3
approximate normality,approximate normality,1,1
noise reduction,noise reduction,1,7
directional hadamard derivative,directional hadamard derivative,1,2
heteroscedasticity,heteroscedasticity,28,1
multiple testing,multiple testing,78,7
empirical,empirical,2,2
simes' equality,simes' equality,1,0
simultaneous confidence tubes,simultaneous confidence tubes,1,2
accumulated prediction errors,accumulated prediction errors,1,7
influenza viral dynamics,influenza viral dynamics,1,6
gaussian graphical models,gaussian graphical models,8,7
high profile,high profile,1,1
nonparametric model selection,nonparametric model selection,1,8
partially observed,partially observed,4,3
mutual incoherence property,mutual incoherence property,1,8
structural inference,structural inference,1,8
conformal model,conformal model,1,6
nonparametric kernel estimation,nonparametric kernel estimation,1,2
inverse meg problem,inverse meg problem,1,5
pivotal test,pivotal test,1,6
environmental monitoring,environmental monitoring,2,2
in-slide replications,in-slide replications,1,3
non-euclidean space,non-euclidean space,1,0
diagnostic error,diagnostic error,1,6
feature models,feature models,1,4
time-varying effect.,time-varying effect.,1,0
environmental factor,environmental factor,1,5
matrix process,matrix process,1,0
tests for gaussianity and isotropy,tests for gaussianity and isotropy,1,5
composite function estimation,composite function estimation,1,5
dependent random measures,dependent random measures,1,7
levy random field,levy random field,1,0
shape classification,shape classification,1,3
confidence hand,confidence hand,1,2
bayesian criterion,bayesian criterion,1,2
conservative confidence set,conservative confidence set,1,4
moment-type estimation,moment-type estimation,1,3
phase,phase,1,2
weakly continuous,weakly continuous,1,8
multivariate generalized,multivariate generalized,1,1
disease surveillance,disease surveillance,1,4
spatial interpolation,spatial interpolation,2,8
shrinkage estimators,shrinkage estimators,2,4
censoring,censoring,29,3
closed population estimation,closed population estimation,3,7
kernel function,kernel function,5,3
standardized mortality rates,standardized mortality rates,1,2
parsimonious modelling,parsimonious modelling,1,1
long run,long run,1,1
neyman-scott problem,neyman-scott problem,2,6
generalized fused lasso,generalized fused lasso,1,1
population of,population of,1,8
changepoint problem,changepoint problem,2,8
rank estimation,rank estimation,8,3
pairwise copulas,pairwise copulas,1,7
irrepresentable condition,irrepresentable condition,1,2
sequence of estimates,sequence of estimates,1,2
grassmannian,grassmannian,1,0
pc regression,pc regression,1,1
forest biometry,forest biometry,1,1
clustered and,clustered and,1,5
switching regression,switching regression,1,6
high-dimensional sparse graphs,high-dimensional sparse graphs,1,6
stopped poisson,stopped poisson,1,8
joint model,joint model,7,2
least favorable direction,least favorable direction,1,1
ballot theorem,ballot theorem,1,0
within clusters,within clusters,1,1
minimax bias,minimax bias,1,2
volatility jumps,volatility jumps,1,5
stiefel manifold,stiefel manifold,6,6
hazard ratio,hazard ratio,1,4
parameter of interest,parameter of interest,1,2
chlorophyll fluorescence,chlorophyll fluorescence,1,0
path algorithm,path algorithm,2,6
irregular design,irregular design,1,6
probability measures,probability measures,2,3
latent structure,latent structure,2,0
faithfulness,faithfulness,1,5
orientations,orientations,1,8
time series analysis,time series analysis,2,2
laplace distribution,laplace distribution,2,7
delay-adjusted rates,delay-adjusted rates,1,0
penalized regression splines,penalized regression splines,2,7
american community survey,american community survey,3,7
kernel estimators with varying bandwidths,kernel estimators with varying bandwidths,1,4
nonparametric smoothing,nonparametric smoothing,4,2
kernel density estimation,kernel density estimation,11,7
geographical epidemiology,geographical epidemiology,1,7
random weighting,random weighting,1,8
informative sampling,informative sampling,2,8
time-dependent parameter,time-dependent parameter,1,6
secondary data,secondary data,1,6
smoking,smoking,2,3
parameter-dependent localization,parameter-dependent localization,1,6
studentized statistic,studentized statistic,2,5
marginalizing and conditioning,marginalizing and conditioning,1,4
exhaustivenes,exhaustivenes,1,1
n problem,n problem,1,6
isotonic estimate,isotonic estimate,1,2
ordinal traits,ordinal traits,1,4
family history,family history,2,2
multivariate empirical bayes,multivariate empirical bayes,1,8
completeness,completeness,2,5
key variable,key variable,1,3
bayesian model selection,bayesian model selection,9,3
mean location,mean location,1,3
x(2)-distribution,x(2)-distribution,1,4
(normalized) random measure with independent,(normalized) random measure with independent,1,1
coefficient model,coefficient model,2,7
age at onset,age at onset,1,8
eigenanalysis,eigenanalysis,5,5
walk metropolis,walk metropolis,1,1
family sequencing data,family sequencing data,1,0
non-donsker empirical processes,non-donsker empirical processes,1,1
continuous optimization,continuous optimization,1,1
irregularly spaced data,irregularly spaced data,2,3
genomic data,genomic data,3,1
graphical model,graphical model,36,0
bivariate failure-time data,bivariate failure-time data,1,3
general balance,general balance,1,6
confounding,confounding,20,6
extended complex plane,extended complex plane,1,2
generalized regression estimator,generalized regression estimator,6,3
fractional calculus,fractional calculus,1,0
gross errors model,gross errors model,1,4
testing rates,testing rates,1,4
bregman score,bregman score,2,6
one-way arrays,one-way arrays,1,6
signal processing,signal processing,5,7
needlets,needlets,1,6
spatial variable screening,spatial variable screening,1,1
first-order em algorithm,first-order em algorithm,1,5
black-white wealth gap,black-white wealth gap,1,3
health state model,health state model,1,3
beamforming,beamforming,1,3
weighted information,weighted information,1,2
residual plots,residual plots,1,0
median,median,7,8
knockoff filter,knockoff filter,1,3
error spending,error spending,1,7
discrete data,discrete data,2,7
turbulence,turbulence,1,4
synthetic aperture radar,synthetic aperture radar,1,8
compactness,compactness,3,7
smoothed maximum likelihood,smoothed maximum likelihood,1,1
