Source,Target,Weight
heteroscedastic regression,u-process,1
l-p norm,resampling method,1
l-p norm,truncated regression,1
l-p norm,u-process,1
resampling method,truncated regression,1
resampling method,u-process,1
truncated regression,u-process,1
cross-over trial,neighbour-balanced design,1
cross-over trial,repeated measurements design,1
cross-over trial,sensory experiment,1
neighbour-balanced design,repeated measurements design,1
neighbour-balanced design,sensory experiment,1
repeated measurements design,sensory experiment,1
design equivalence,hadamard matrix,1
design equivalence,minimum aberration,1
design equivalence,nonregular factorial design,1
design equivalence,projection property,1
design equivalence,resolution,1
design equivalence,screening experiment,1
hadamard matrix,nonregular factorial design,1
hadamard matrix,projection property,1
hadamard matrix,screening experiment,1
minimum aberration,nonregular factorial design,1
minimum aberration,projection property,1
minimum aberration,screening experiment,1
nonregular factorial design,projection property,1
nonregular factorial design,resolution,1
nonregular factorial design,screening experiment,1
projection property,resolution,1
projection property,screening experiment,1
resolution,screening experiment,1
balanced design,biased coin design,1
balanced design,efficiency,1
balanced design,limiting proportion,1
balanced design,of allocation,1
balanced design,probit link,1
biased coin design,efficiency,1
biased coin design,limiting proportion,1
biased coin design,of allocation,1
biased coin design,probit link,1
efficiency,limiting proportion,1
efficiency,of allocation,1
efficiency,probit link,1
limiting proportion,of allocation,1
limiting proportion,probit link,1
of allocation,probit link,1
bias correction,cox proportional,1
bias correction,hazards model,1
bias correction,misspecified model,1
bias correction,partial likelihood,1
bias correction,relative efficiency,1
bias correction,weighted log-rank test,1
cox proportional,misspecified model,1
cox proportional,partial likelihood,1
cox proportional,relative efficiency,1
cox proportional,weighted log-rank test,1
hazards model,misspecified model,1
hazards model,partial likelihood,1
hazards model,relative efficiency,1
hazards model,weighted log-rank test,1
misspecified model,partial likelihood,2
misspecified model,relative efficiency,1
misspecified model,weighted log-rank test,1
partial likelihood,relative efficiency,1
partial likelihood,weighted log-rank test,1
relative efficiency,weighted log-rank test,1
conditional score,mixed effects model,1
conditional score,regression calibration,1
conditional score,semiparametric,1
conditional score,survival analysis,1
measurement error,mixed effects model,1
measurement error,regression calibration,2
measurement error,semiparametric,2
measurement error,survival analysis,4
mixed effects model,regression calibration,1
mixed effects model,semiparametric,1
mixed effects model,survival analysis,1
regression calibration,semiparametric,1
regression calibration,survival analysis,1
semiparametric,survival analysis,2
concentrated shape,hotelling's t-2,1
concentrated shape,object symmetry,1
concentrated shape,procrustes analysis,1
hotelling's t-2,object symmetry,1
hotelling's t-2,procrustes analysis,1
object symmetry,procrustes analysis,1
complete spatial randomness,inhomogeneous poisson,1
complete spatial randomness,point process,1
inhomogeneous poisson,point process,1
bootstrap testing,bump-hunting,1
bootstrap testing,circular data,1
bootstrap testing,excess mass,1
bootstrap testing,nonparametric density estimation,1
bootstrap testing,smoothing,1
bump-hunting,circular data,1
bump-hunting,excess mass,1
bump-hunting,nonparametric density estimation,1
bump-hunting,smoothing,1
circular data,excess mass,1
circular data,nonparametric density estimation,1
circular data,smoothing,1
excess mass,nonparametric density estimation,1
excess mass,smoothing,1
bootstrap,calibrated percentile method,1
bootstrap,median,1
bootstrap,percentile-t,1
bootstrap,rank methods,1
bootstrap,smoothed median,1
calibrated percentile method,median,1
calibrated percentile method,percentile-t,1
calibrated percentile method,rank methods,1
calibrated percentile method,smoothed median,1
median,percentile-t,1
median,rank methods,1
median,smoothed median,1
percentile-t,rank methods,1
percentile-t,smoothed median,1
rank methods,smoothed median,1
augmentation,complete data,1
augmentation,em algorithm,1
augmentation,finite mixture distribution,1
augmentation,high-dimensional,1
augmentation,maximum likelihood,1
augmentation,missing data,1
augmentation,rate of convergence,1
augmentation,nonparametric mixture,1
augmentation,zero-elimination,1
complete data,em algorithm,1
complete data,finite mixture distribution,1
complete data,high-dimensional,1
complete data,maximum likelihood,1
complete data,missing data,1
complete data,rate of convergence,1
complete data,nonparametric mixture,1
complete data,zero-elimination,1
em algorithm,finite mixture distribution,1
em algorithm,high-dimensional,1
em algorithm,rate of convergence,1
em algorithm,zero-elimination,1
finite mixture distribution,high-dimensional,1
finite mixture distribution,maximum likelihood,1
finite mixture distribution,missing data,1
finite mixture distribution,rate of convergence,1
finite mixture distribution,nonparametric mixture,1
finite mixture distribution,zero-elimination,1
high-dimensional,maximum likelihood,1
high-dimensional,missing data,1
high-dimensional,rate of convergence,1
high-dimensional,nonparametric mixture,1
high-dimensional,zero-elimination,1
maximum likelihood,nonparametric mixture,1
maximum likelihood,zero-elimination,1
missing data,rate of convergence,1
missing data,nonparametric mixture,1
missing data,zero-elimination,1
nonparametric mixture,rate of convergence,1
rate of convergence,zero-elimination,1
nonparametric mixture,zero-elimination,1
em algorithm,missing data mechanism,1
em algorithm,random effects model,1
gibbs sampling,maximum likelihood estimation,1
gibbs sampling,missing data mechanism,1
gibbs sampling,monte carlo em,1
gibbs sampling,random effects model,1
maximum likelihood estimation,missing data mechanism,1
maximum likelihood estimation,monte carlo em,1
maximum likelihood estimation,random effects model,1
missing data mechanism,monte carlo em,1
missing data mechanism,random effects model,1
monte carlo em,random effects model,1
adjusted residual,survival data,1
adjusted residual,smoothed residual,1
cox model,survival data,2
cox model,smoothed residual,1
diagnostic plot,survival data,1
diagnostic plot,smoothed residual,1
nonproportional hazards,survival data,1
nonproportional hazards,smoothed residual,1
smoothed residual,survival data,1
efficiency,hazard function,1
efficiency,marginal method,1
efficiency,maximum likelihood estimator,1
efficiency,multiple event times,1
efficiency,multivariate distribution,1
efficiency,proportional hazards model,1
hazard function,maximum likelihood estimator,1
hazard function,multiple event times,1
marginal method,maximum likelihood estimator,1
marginal method,multiple event times,1
maximum likelihood estimator,multiple event times,1
maximum likelihood estimator,multivariate distribution,1
maximum likelihood estimator,proportional hazards model,1
multiple event times,multivariate distribution,1
multiple event times,proportional hazards model,1
capture-recapture,deficiency,1
capture-recapture,derivative matrix,1
capture-recapture,mark-recovery,1
capture-recapture,parameter redundancy,1
deficiency,derivative matrix,1
deficiency,mark-recovery,1
deficiency,parameter redundancy,1
derivative matrix,mark-recovery,1
derivative matrix,parameter redundancy,1
mark-recovery,parameter redundancy,1
bayesian inference,estimating function,1
bayesian inference,foundations of statistics,1
bayesian inference,generalised regression model,1
bayesian inference,graphical method,1
bayesian inference,missing data,2
bayesian inference,model selection,3
bayesian inference,multivariate statistics,1
bayesian inference,non-regular model,1
bayesian inference,quasilikelihood,1
bayesian inference,saddlepoint,1
bayesian inference,simulation,1
bayesian inference,spatial statistics,1
estimating function,foundations of statistics,1
estimating function,generalised regression model,1
estimating function,graphical method,1
estimating function,graphical model,1
estimating function,laplace approximation,1
estimating function,likelihood,1
estimating function,model selection,1
estimating function,multivariate statistics,1
estimating function,non-regular model,1
estimating function,quasilikelihood,1
estimating function,saddlepoint,1
estimating function,simulation,1
estimating function,spatial statistics,1
foundations of statistics,generalised regression model,1
foundations of statistics,graphical method,1
foundations of statistics,graphical model,1
foundations of statistics,laplace approximation,1
foundations of statistics,likelihood,1
foundations of statistics,missing data,1
foundations of statistics,model selection,1
foundations of statistics,multivariate statistics,1
foundations of statistics,non-regular model,1
foundations of statistics,quasilikelihood,1
foundations of statistics,saddlepoint,1
foundations of statistics,simulation,1
foundations of statistics,spatial statistics,1
generalised regression model,graphical method,1
generalised regression model,graphical model,1
generalised regression model,laplace approximation,1
generalised regression model,likelihood,1
generalised regression model,missing data,1
generalised regression model,model selection,1
generalised regression model,multivariate statistics,1
generalised regression model,non-regular model,1
generalised regression model,quasilikelihood,1
generalised regression model,saddlepoint,1
generalised regression model,simulation,1
generalised regression model,spatial statistics,1
graphical method,graphical model,1
graphical method,laplace approximation,1
graphical method,likelihood,1
graphical method,missing data,1
graphical method,model selection,1
graphical method,multivariate statistics,1
graphical method,non-regular model,1
graphical method,quasilikelihood,1
graphical method,saddlepoint,1
graphical method,simulation,1
graphical method,spatial statistics,1
graphical model,laplace approximation,1
graphical model,likelihood,1
graphical model,missing data,1
graphical model,model selection,1
graphical model,multivariate statistics,1
graphical model,non-regular model,1
graphical model,quasilikelihood,1
graphical model,saddlepoint,1
graphical model,simulation,1
graphical model,spatial statistics,1
laplace approximation,missing data,1
laplace approximation,model selection,1
laplace approximation,multivariate statistics,1
laplace approximation,non-regular model,1
laplace approximation,quasilikelihood,1
laplace approximation,saddlepoint,1
laplace approximation,simulation,1
laplace approximation,spatial statistics,1
likelihood,missing data,1
likelihood,model selection,1
likelihood,multivariate statistics,1
likelihood,non-regular model,1
likelihood,quasilikelihood,1
likelihood,saddlepoint,1
likelihood,simulation,1
likelihood,spatial statistics,1
missing data,multivariate statistics,1
missing data,non-regular model,1
missing data,quasilikelihood,1
missing data,saddlepoint,1
missing data,simulation,1
missing data,spatial statistics,1
model selection,multivariate statistics,1
model selection,non-regular model,1
model selection,quasilikelihood,1
model selection,saddlepoint,1
model selection,simulation,1
model selection,spatial statistics,2
multivariate statistics,non-regular model,1
multivariate statistics,quasilikelihood,1
multivariate statistics,saddlepoint,1
multivariate statistics,simulation,1
multivariate statistics,spatial statistics,1
non-regular model,quasilikelihood,1
non-regular model,saddlepoint,1
non-regular model,simulation,1
non-regular model,spatial statistics,1
quasilikelihood,saddlepoint,1
quasilikelihood,simulation,1
quasilikelihood,spatial statistics,1
saddlepoint,simulation,1
saddlepoint,spatial statistics,1
simulation,spatial statistics,1
clinical trial,factorial experiment,1
clinical trial,incomplete block design,1
clinical trial,neighbours,1
clinical trial,optimum design,1
clinical trial,randomisation,1
clinical trial,response surface methods,1
factorial experiment,incomplete block design,1
factorial experiment,neighbours,1
factorial experiment,optimum design,1
factorial experiment,randomisation,1
factorial experiment,response surface methods,1
incomplete block design,neighbours,1
incomplete block design,optimum design,1
incomplete block design,randomisation,1
incomplete block design,response surface methods,1
neighbours,optimum design,1
neighbours,randomisation,1
neighbours,response surface methods,1
optimum design,randomisation,1
optimum design,response surface methods,1
randomisation,response surface methods,1
censoring,cox model,1
censoring,hazard function,1
censoring,kaplan-meier,1
censoring,life table,1
counting process,cox model,2
counting process,hazard function,1
counting process,kaplan-meier,1
counting process,life table,1
cox model,hazard function,1
cox model,kaplan-meier,1
cox model,life table,1
cox model,martingale,1
hazard function,kaplan-meier,1
hazard function,life table,1
hazard function,martingale,1
kaplan-meier,life table,1
kaplan-meier,martingale,1
life table,martingale,1
bandwidth,bayesian methods,1
bandwidth,categorical data,1
bandwidth,classification,1
bandwidth,density estimation,1
bandwidth,discrimination,1
bandwidth,empirical likelihood,2
bandwidth,jackknife,1
bandwidth,local polynomial methods,2
bandwidth,maximum penalised likelihood,1
bandwidth,nonparametric likelihood,1
bandwidth,permutation test,1
bandwidth,rank test,1
bandwidth,resampling,1
bandwidth,wavelet methods,1
bayesian methods,bootstrap,1
bayesian methods,categorical data,1
bayesian methods,classification,1
bayesian methods,curve estimation,1
bayesian methods,density estimation,2
bayesian methods,discrimination,1
bayesian methods,empirical likelihood,1
bayesian methods,jackknife,1
bayesian methods,kernel methods,1
bayesian methods,local polynomial methods,1
bayesian methods,maximum penalised likelihood,1
bayesian methods,nonparametric likelihood,1
bayesian methods,nonparametric regression,3
bayesian methods,permutation test,1
bayesian methods,rank test,1
bayesian methods,resampling,1
bayesian methods,smoothing,1
bayesian methods,survival analysis,1
bayesian methods,wavelet methods,1
bootstrap,categorical data,2
bootstrap,jackknife,2
bootstrap,local polynomial methods,1
bootstrap,maximum penalised likelihood,1
bootstrap,nonparametric likelihood,1
bootstrap,permutation test,2
bootstrap,wavelet methods,1
categorical data,classification,1
categorical data,curve estimation,1
categorical data,density estimation,2
categorical data,discrimination,1
categorical data,empirical likelihood,1
categorical data,jackknife,1
categorical data,kernel methods,2
categorical data,local polynomial methods,1
categorical data,maximum penalised likelihood,1
categorical data,nonparametric likelihood,1
categorical data,nonparametric regression,1
categorical data,permutation test,1
categorical data,rank test,1
categorical data,resampling,1
categorical data,smoothing,1
categorical data,survival analysis,1
categorical data,wavelet methods,1
classification,curve estimation,1
classification,density estimation,2
classification,empirical likelihood,1
classification,jackknife,1
classification,local polynomial methods,1
classification,maximum penalised likelihood,1
classification,nonparametric likelihood,1
classification,permutation test,1
classification,rank test,1
classification,resampling,1
classification,smoothing,1
classification,survival analysis,1
classification,wavelet methods,1
curve estimation,density estimation,1
curve estimation,discrimination,1
curve estimation,empirical likelihood,1
curve estimation,jackknife,1
curve estimation,local polynomial methods,1
curve estimation,maximum penalised likelihood,1
curve estimation,nonparametric likelihood,1
curve estimation,nonparametric regression,2
curve estimation,permutation test,1
curve estimation,rank test,1
curve estimation,resampling,1
curve estimation,smoothing,1
curve estimation,survival analysis,1
curve estimation,wavelet methods,1
density estimation,discrimination,1
density estimation,empirical likelihood,1
density estimation,jackknife,2
density estimation,local polynomial methods,1
density estimation,maximum penalised likelihood,1
density estimation,nonparametric likelihood,1
density estimation,permutation test,1
density estimation,rank test,1
density estimation,smoothing,4
density estimation,survival analysis,1
density estimation,wavelet methods,1
discrimination,empirical likelihood,1
discrimination,jackknife,1
discrimination,local polynomial methods,1
discrimination,maximum penalised likelihood,1
discrimination,nonparametric likelihood,1
discrimination,nonparametric regression,1
discrimination,permutation test,1
discrimination,rank test,1
discrimination,smoothing,1
discrimination,survival analysis,1
discrimination,wavelet methods,1
empirical likelihood,jackknife,2
empirical likelihood,kernel methods,1
empirical likelihood,local polynomial methods,1
empirical likelihood,maximum penalised likelihood,1
empirical likelihood,permutation test,1
empirical likelihood,rank test,1
empirical likelihood,survival analysis,1
empirical likelihood,wavelet methods,1
jackknife,kernel methods,1
jackknife,local polynomial methods,1
jackknife,maximum penalised likelihood,1
jackknife,nonparametric likelihood,1
jackknife,nonparametric regression,1
jackknife,permutation test,1
jackknife,rank test,1
jackknife,smoothing,1
jackknife,survival analysis,1
jackknife,wavelet methods,1
kernel methods,local polynomial methods,2
kernel methods,maximum penalised likelihood,1
kernel methods,nonparametric likelihood,1
kernel methods,permutation test,1
kernel methods,rank test,1
kernel methods,resampling,1
kernel methods,wavelet methods,1
local polynomial methods,maximum penalised likelihood,1
local polynomial methods,nonparametric likelihood,1
local polynomial methods,nonparametric regression,1
local polynomial methods,permutation test,1
local polynomial methods,rank test,1
local polynomial methods,resampling,1
local polynomial methods,survival analysis,1
local polynomial methods,wavelet methods,1
maximum penalised likelihood,nonparametric likelihood,1
maximum penalised likelihood,nonparametric regression,1
maximum penalised likelihood,permutation test,1
maximum penalised likelihood,rank test,1
maximum penalised likelihood,resampling,1
maximum penalised likelihood,smoothing,1
maximum penalised likelihood,survival analysis,1
maximum penalised likelihood,wavelet methods,1
nonparametric likelihood,nonparametric regression,1
nonparametric likelihood,permutation test,1
nonparametric likelihood,rank test,1
nonparametric likelihood,resampling,1
nonparametric likelihood,smoothing,1
nonparametric likelihood,survival analysis,1
nonparametric likelihood,wavelet methods,1
nonparametric regression,permutation test,1
nonparametric regression,rank test,1
nonparametric regression,resampling,1
nonparametric regression,survival analysis,1
nonparametric regression,wavelet methods,1
permutation test,rank test,1
permutation test,resampling,1
permutation test,smoothing,1
permutation test,survival analysis,1
permutation test,wavelet methods,1
rank test,smoothing,1
rank test,survival analysis,1
rank test,wavelet methods,1
resampling,smoothing,1
resampling,survival analysis,3
resampling,wavelet methods,1
smoothing,survival analysis,2
smoothing,wavelet methods,1
survival analysis,wavelet methods,1
analytic inference,capture-recapture,1
analytic inference,case-control study,1
analytic inference,distribution function,1
analytic inference,ignorable design,1
analytic inference,missing values,1
analytic inference,model-based inference,1
analytic inference,optimal design,1
analytic inference,pi ps design,1
analytic inference,randomisation inference,1
analytic inference,variance estimation,1
capture-recapture,case-control study,1
capture-recapture,distribution function,1
capture-recapture,ignorable design,1
capture-recapture,missing values,2
capture-recapture,model-based inference,1
capture-recapture,optimal design,1
capture-recapture,pi ps design,1
capture-recapture,randomisation inference,1
capture-recapture,variance estimation,1
case-control study,distribution function,1
case-control study,ignorable design,1
case-control study,missing values,1
case-control study,model-based inference,1
case-control study,optimal design,1
case-control study,pi ps design,1
case-control study,randomisation inference,1
case-control study,variance estimation,1
distribution function,ignorable design,1
distribution function,missing values,1
distribution function,model-based inference,1
distribution function,optimal design,1
distribution function,pi ps design,1
distribution function,randomisation inference,1
distribution function,variance estimation,1
ignorable design,missing values,1
ignorable design,model-based inference,1
ignorable design,optimal design,1
ignorable design,pi ps design,1
ignorable design,randomisation inference,1
ignorable design,variance estimation,1
missing values,model-based inference,1
missing values,optimal design,1
missing values,pi ps design,1
missing values,randomisation inference,1
missing values,variance estimation,1
model-based inference,optimal design,1
model-based inference,pi ps design,1
model-based inference,randomisation inference,1
model-based inference,variance estimation,1
optimal design,pi ps design,1
optimal design,randomisation inference,1
optimal design,variance estimation,1
pi ps design,randomisation inference,1
pi ps design,variance estimation,1
randomisation inference,variance estimation,1
attributable risk,control median test,1
attributable risk,fisher's exact test,1
attributable risk,placement,1
attributable risk,randomisation inference,1
attributable risk,sensitivity analysis,1
control median test,fisher's exact test,1
control median test,placement,1
control median test,randomisation inference,1
control median test,sensitivity analysis,1
fisher's exact test,placement,1
fisher's exact test,randomisation inference,1
fisher's exact test,sensitivity analysis,1
placement,randomisation inference,1
placement,sensitivity analysis,1
randomisation inference,sensitivity analysis,1
frailty model,marginal likelihood,1
frailty model,multivariate survival data,1
frailty model,restricted maximum likelihood,1
hierarchical likelihood,multivariate survival data,1
hierarchical likelihood,restricted maximum likelihood,1
marginal likelihood,multivariate survival data,1
marginal likelihood,restricted maximum likelihood,2
multivariate survival data,profile likelihood,1
multivariate survival data,restricted maximum likelihood,1
profile likelihood,restricted maximum likelihood,1
conditional likelihood,cox regression,1
conditional likelihood,proportional odds regression,1
conditional likelihood,pseudolikelihood,1
cox regression,proportional odds regression,1
cox regression,pseudolikelihood,1
profile likelihood,proportional odds regression,1
profile likelihood,pseudolikelihood,1
proportional odds regression,pseudolikelihood,1
capture-recapture,gibbs sampling,2
capture-recapture,software review,1
closed population estimation,gibbs sampling,1
closed population estimation,software review,1
gibbs sampling,software review,1
gibbs sampling,variable capture probability,1
software review,variable capture probability,1
em algorithm,estimating equation,2
em algorithm,stochastic algorithm,1
estimating equation,stochastic algorithm,1
binary variable,computer simulation,1
binary variable,correlation structure,1
binary variable,generalised estimating equation,1
computer simulation,correlation structure,1
computer simulation,generalised estimating equation,1
correlation structure,generalised estimating equation,1
higher-order serial dependence,local alternatives,1
higher-order serial dependence,long memory,1
higher-order serial dependence,model checking,1
higher-order serial dependence,nonlinear in,1
higher-order serial dependence,variables models,1
higher-order serial dependence,recursive residuals,1
local alternatives,long memory,1
local alternatives,model checking,1
local alternatives,nonlinear in,1
local alternatives,variables models,1
local alternatives,recursive residuals,1
long memory,model checking,1
long memory,nonlinear in,1
long memory,variables models,1
long memory,recursive residuals,1
model checking,nonlinear in,1
model checking,variables models,1
model checking,recursive residuals,1
nonlinear in,variables models,1
nonlinear in,recursive residuals,1
recursive residuals,variables models,1
directed acyclic graphs,incomplete data,1
directed acyclic graphs,mean field approximation,1
directed acyclic graphs,penalized splines,1
directed acyclic graphs,variational approximation,1
incomplete data,mean field approximation,1
incomplete data,penalized splines,1
incomplete data,variational approximation,1
mean field approximation,penalized splines,1
mean field approximation,variational approximation,1
penalized splines,variational approximation,1
aerosol optical,depth (aod),1
aerosol optical,empirical-bayesian analysis,1
aerosol optical,fixed rank,1
aerosol optical,kriging (frk),1
aerosol optical,givens angles,1
aerosol optical,large datasets,1
aerosol optical,prior,1
aerosol optical,remote sensing,1
depth (aod),empirical-bayesian analysis,1
depth (aod),fixed rank,1
depth (aod),kriging (frk),1
depth (aod),givens angles,1
depth (aod),large datasets,1
depth (aod),prior,1
depth (aod),remote sensing,1
empirical-bayesian analysis,fixed rank,1
empirical-bayesian analysis,kriging (frk),1
empirical-bayesian analysis,givens angles,1
empirical-bayesian analysis,large datasets,1
empirical-bayesian analysis,prior,1
empirical-bayesian analysis,remote sensing,1
fixed rank,kriging (frk),1
fixed rank,givens angles,1
fixed rank,large datasets,1
fixed rank,prior,1
fixed rank,remote sensing,1
givens angles,kriging (frk),1
kriging (frk),large datasets,1
kriging (frk),prior,1
kriging (frk),remote sensing,1
givens angles,large datasets,1
givens angles,prior,1
givens angles,remote sensing,1
large datasets,prior,1
large datasets,remote sensing,1
prior,remote sensing,1
b-spline,case-control study,1
b-spline,principal components,2
b-spline,propensity score,1
b-spline,semiparametric logistic regression,1
b-spline,single nucleotide polymorphism,1
case-control study,principal components,1
case-control study,propensity score,1
case-control study,semiparametric logistic regression,1
case-control study,single nucleotide polymorphism,2
principal components,propensity score,1
principal components,semiparametric logistic regression,1
principal components,single nucleotide polymorphism,1
propensity score,semiparametric logistic regression,1
propensity score,single nucleotide polymorphism,1
semiparametric logistic regression,single nucleotide polymorphism,1
blind source separation,discrete fourier transform,1
blind source separation,spectral analysis,1
blind source separation,time series,1
blind source separation,whittle likelihood,1
discrete fourier transform,spectral analysis,1
discrete fourier transform,time series,1
spectral analysis,whittle likelihood,2
time series,whittle likelihood,2
dimension reduction,matrix process,1
dimension reduction,realized volatilities,1
dimension reduction,vector autoregressive model,1
eigenanalysis,matrix process,1
eigenanalysis,realized volatilities,1
eigenanalysis,vector autoregressive model,1
factor model,matrix process,1
factor model,realized volatilities,1
factor model,vector autoregressive model,1
matrix process,realized volatilities,1
matrix process,vector autoregressive model,1
realized volatilities,vector autoregressive model,1
gibbs sampling,mcmc,1
gibbs sampling,missing data,2
gibbs sampling,model probability,1
gibbs sampling,model uncertainty,1
gibbs sampling,orthogonal design,1
gibbs sampling,posterior probability,1
mcmc,missing data,2
mcmc,model probability,1
mcmc,model uncertainty,1
mcmc,orthogonal design,1
mcmc,posterior probability,1
missing data,model probability,1
missing data,orthogonal design,1
missing data,posterior probability,1
model probability,model uncertainty,1
model probability,orthogonal design,1
model probability,posterior probability,1
model uncertainty,orthogonal design,1
model uncertainty,posterior probability,1
orthogonal design,posterior probability,1
asymptotic optimality,finite sample properties,1
asymptotic optimality,mallows criterion,1
asymptotic optimality,smoothed aic,1
asymptotic optimality,smoothed bic,1
asymptotic optimality,unbiased mse estimate,1
finite sample properties,mallows criterion,1
finite sample properties,smoothed aic,1
finite sample properties,smoothed bic,1
finite sample properties,unbiased mse estimate,1
mallows criterion,smoothed aic,1
mallows criterion,smoothed bic,1
mallows criterion,unbiased mse estimate,1
smoothed aic,smoothed bic,1
smoothed aic,unbiased mse estimate,1
smoothed bic,unbiased mse estimate,1
agglomerative,dendrogram,1
agglomerative,unsupervised learning,1
dendrogram,unsupervised learning,1
credit score,lorenz curve,1
credit score,predictive modeling,1
credit score,u-statistics,1
lorenz curve,predictive modeling,1
lorenz curve,u-statistics,1
predictive modeling,u-statistics,1
model selection,rkhs,1
model selection,smoothing splines,1
rkhs,semiparametric regression,1
rkhs,shrinkage,1
rkhs,smoothing splines,1
semiparametric regression,shrinkage,1
semiparametric regression,smoothing splines,1
shrinkage,smoothing splines,1
goodness-of-fit tests,integrated periodogram,1
goodness-of-fit tests,l-2-distance,1
goodness-of-fit tests,nonstationary processes,1
goodness-of-fit tests,spectral density,1
integrated periodogram,l-2-distance,1
integrated periodogram,nonstationary processes,1
integrated periodogram,spectral density,1
l-2-distance,nonstationary processes,1
l-2-distance,spectral density,1
nonstationary processes,spectral density,1
degrees of freedom,nonconvex optimization,1
degrees of freedom,regularization surface,1
degrees of freedom,sparse regression,1
lasso,nonconvex optimization,1
lasso,regularization surface,1
lasso,sparse regression,2
nonconvex optimization,regularization surface,1
nonconvex optimization,sparse regression,1
nonconvex optimization,variable selection,1
regularization surface,sparse regression,1
regularization surface,variable selection,1
sparse regression,variable selection,2
foldover technique,fractional factorial design,1
foldover technique,latin hypercube design,1
foldover technique,minimum aberration criterion,1
foldover technique,space-filling design,1
fractional factorial design,latin hypercube design,1
fractional factorial design,minimum aberration criterion,1
fractional factorial design,space-filling design,1
latin hypercube design,minimum aberration criterion,1
minimum aberration criterion,space-filling design,1
factor models,generalized least squares,1
factor models,heteroscedasticity,1
factor models,principal components,2
factor models,serial correlation,1
generalized least squares,heteroscedasticity,1
generalized least squares,principal components,1
generalized least squares,serial correlation,1
heteroscedasticity,principal components,1
heteroscedasticity,serial correlation,1
principal components,serial correlation,1
adaptive lasso,bayesian methods,1
adaptive lasso,false discovery rate,1
adaptive lasso,functional data analysis,1
adaptive lasso,robust regression,1
adaptive lasso,scale mixtures,1
adaptive lasso,of normals,1
adaptive lasso,sparsity priors,1
adaptive lasso,wavelets,1
bayesian methods,false discovery rate,1
bayesian methods,functional data analysis,3
bayesian methods,robust regression,1
bayesian methods,scale mixtures,1
bayesian methods,of normals,1
bayesian methods,sparsity priors,1
bayesian methods,variable selection,1
bayesian methods,wavelets,2
false discovery rate,functional data analysis,1
false discovery rate,robust regression,1
false discovery rate,scale mixtures,1
false discovery rate,of normals,1
false discovery rate,sparsity priors,1
false discovery rate,variable selection,2
false discovery rate,wavelets,4
functional data analysis,robust regression,1
functional data analysis,scale mixtures,1
functional data analysis,of normals,1
functional data analysis,sparsity priors,1
functional data analysis,variable selection,1
functional data analysis,wavelets,2
robust regression,scale mixtures,1
of normals,robust regression,1
robust regression,sparsity priors,1
robust regression,variable selection,1
robust regression,wavelets,1
of normals,scale mixtures,1
scale mixtures,sparsity priors,1
scale mixtures,variable selection,2
scale mixtures,wavelets,1
of normals,sparsity priors,1
of normals,variable selection,1
of normals,wavelets,1
sparsity priors,variable selection,1
sparsity priors,wavelets,1
variable selection,wavelets,2
cross-validation,least squares,1
cross-validation,plug-in method,1
cross-validation,uncertain sample,1
least squares,plug-in method,1
least squares,uncertain sample,1
plug-in method,uncertain sample,1
central subspace,complete-case analysis,1
central subspace,data-driven,1
central subspace,imputation,1
complete-case analysis,data-driven,1
complete-case analysis,imputation,1
data-driven,imputation,1
dirichlet process mixture,false discovery rate,1
dirichlet process mixture,p-value distribution,1
dirichlet process mixture,shape restriction,1
dirichlet process mixture,skew-normal distribution,1
false discovery rate,p-value distribution,1
false discovery rate,shape restriction,1
false discovery rate,skew-normal distribution,1
p-value distribution,shape restriction,1
p-value distribution,skew-normal distribution,1
shape restriction,skew-normal distribution,1
factor analysis,latent variables,2
factor analysis,mixture model,2
factor analysis,model-based clustering,1
factor analysis,nested dirichlet process,1
factor analysis,order restriction,1
factor analysis,random probability measure,1
factor analysis,stick breaking,1
latent variables,mixture model,1
latent variables,model-based clustering,1
latent variables,nested dirichlet process,1
latent variables,order restriction,1
latent variables,random probability measure,1
latent variables,stick breaking,1
mixture model,model-based clustering,1
mixture model,nested dirichlet process,1
mixture model,order restriction,1
mixture model,random probability measure,1
mixture model,stick breaking,1
model-based clustering,nested dirichlet process,1
model-based clustering,order restriction,1
model-based clustering,random probability measure,1
model-based clustering,stick breaking,1
nested dirichlet process,order restriction,1
nested dirichlet process,random probability measure,1
nested dirichlet process,stick breaking,1
order restriction,random probability measure,1
order restriction,stick breaking,1
random probability measure,stick breaking,1
adaptive neyman test,false discovery rate,1
adaptive neyman test,functional clustering,1
adaptive neyman test,multiple testing,1
adaptive neyman test,pivotal test,1
adaptive neyman test,sizer analysis,1
adaptive neyman test,wavelets,1
false discovery rate,functional clustering,1
false discovery rate,pivotal test,1
false discovery rate,principal components,1
false discovery rate,sizer analysis,1
functional clustering,multiple testing,1
functional clustering,pivotal test,1
functional clustering,principal components,1
functional clustering,sizer analysis,1
functional clustering,wavelets,2
multiple testing,pivotal test,1
multiple testing,principal components,1
multiple testing,sizer analysis,1
multiple testing,wavelets,1
pivotal test,principal components,1
pivotal test,sizer analysis,1
pivotal test,wavelets,1
principal components,sizer analysis,1
principal components,wavelets,1
sizer analysis,wavelets,1
genome-wide association study,multiple comparison,1
genome-wide association study,poisson approximation,1
multiple comparison,poisson approximation,1
markov chain,martingale,1
markov chain,sampling,1
markov chain,streaming data,1
martingale,sampling,1
martingale,streaming data,1
